"LicenceNumber","ApplicationStatusEn","LicenceStatus","LicenceTypeEn","Latitude","Longitude","PremisesName","StreetAddress","City","Province","PostalCode","AddressID"
"CRSA1172638","Authorized to Open","Active","Cannabis Retail Store Authorization","42.9944835165902","-79.2656180255352","Sessions Cannabis Retail","200 FITCH ST UNIT 12A","WELLAND","ON","L3C4V9","55144918"
"CRSA1172643","Authorized to Open","Active","Cannabis Retail Store Authorization","45.3250310837904","-75.7788281637133","DREAM CANNABIS  ","250 GREENBANK RD UNIT 1B","NEPEAN","ON","K2H8X4","67472034"
"CRSA1172645","Authorized to Open","Active","Cannabis Retail Store Authorization","43.3532660885796","-79.7871564860346","Spiritleaf","3295 FAIRVIEW ST, UNIT 004A","BURLINGTON","ON","L7N 3N9","64517468"
"CRSA1172646","Authorized to Open","Active","Cannabis Retail Store Authorization","44.3507020952588","-78.7574634513308","The 420 Store","370 KENT ST W","LINDSAY","ON","K9V6G8","121899"
"CRSA1172649","Authorized to Open","Active","Cannabis Retail Store Authorization","43.7296176777656","-79.403423802412","Erbn Green","3244 YONGE ST","TORONTO","ON","M4N2L4","64517911"
"CRSA1172651","Authorized to Open","Active","Cannabis Retail Store Authorization","44.0060531504127","-77.1442675840788","ERBN GREEN","126 PICTON MAIN ST","PICTON","ON","K0K2T0","67548185"
"CRSA1172652","Authorized to Open","Active","Cannabis Retail Store Authorization","46.5217031219626","-84.2741045955057","HIGHLIFE SSM","625 TRUNK RD UNIT 9","SAULT STE. MARIE","ON","P6A3T1","79468322"
"CRSA1172653","Authorized to Open","Active","Cannabis Retail Store Authorization","46.0973313187009","-77.4932912759382","Deep River Cannabis","33155 HIGHWAY 17 EAST","DEEP RIVER","ON","K0J1P0","52641134"
"CRSA1172654","Authorized to Open","Active","Cannabis Retail Store Authorization","42.3103383675757","-82.9525005665804","The We Store","6050 TECUMSEH RD E","WINDSOR","ON","N8T1E3","71079116"
"CRSA1172660","Authorized to Open","Active","Cannabis Retail Store Authorization","42.2692099969225","-82.9983600336119","REGULATORS CANNABIS","650 DIVISION RD UNIT 402","WINDSOR","ON","N8X0A8","76423783"
